,dates,ASIANPAINT and NESTLEIND P/L
0,26-Sep-19,219.70000000000164
1,25-Sep-19,1111.8000000000002
2,24-Sep-19,1590.0000000000018
3,05-Sep-19,-2851.949999999997
4,04-Sep-19,-2769.7999999999956
5,03-Sep-19,-1320.0000000000005
6,30-Aug-19,-744.8999999999992
7,29-Aug-19,-298.34999999999945
8,28-Aug-19,19.05000000000564
9,27-Aug-19,-756.9499999999989
10,26-Aug-19,-491.8500000000013
11,23-Aug-19,-1212.6999999999944
12,22-Aug-19,-1654.2999999999972
13,21-Aug-19,-645.0499999999965
14,20-Aug-19,1119.950000000007
15,19-Aug-19,463.0500000000013
16,16-Aug-19,1052.850000000004
17,14-Aug-19,64.00000000000568
18,13-Aug-19,749.5499999999956
19,09-Aug-19,416.8000000000043
20,08-Aug-19,731.4000000000042
21,07-Aug-19,813.0
22,06-Aug-19,740.6500000000015
23,05-Aug-19,-9.999999999992724
24,02-Aug-19,1828.800000000003
25,01-Aug-19,-25.599999999996953
